Name,Id,TotalNumRide,TotalNumGetOff,NumRideByCard,NumGetOffByCard,NumRideByCash,AveNumGetOff
새소망교회,40917,3,345,2,345,1,11
새안의원,37255,9997,11318,9735,11318,262,687
새안의원,37256,15976,6725,15753,6725,223,732
새한아파트,37046,4991,2616,4861,2616,130,245
색동원 앞,43161,8,5,6,5,2,0
색동원 앞,43215,2,0,2,0,0,0
샘말,43444,2,23,2,23,0,0
샘말,43782,24,10,24,10,0,1
샛말,43994,23,20,23,20,0,1
샛말,43995,18,15,18,15,0,1
생산기술연구원,38354,274,851,264,851,10,36
생설미,43746,547,312,524,312,23,27
생설미입구,43125,0,10,0,10,0,0
생설미입구,43607,20,3,17,3,3,0
생설미입구,43608,1,71,1,71,0,2
샬롬원입구,90293,7,8,7,8,0,0
샬롬원입구,90297,3,0,3,0,0,0
서곶지구대,42338,12478,8423,12168,8423,310,674
서곶지구대,42339,12420,10182,12249,10182,171,729
서교동,23037,209,5080,203,5080,6,170
서교동,23038,12318,236,12266,236,52,404
서구국민체육센터,42776,851,4008,833,4008,18,156
서구문화회관,42212,1628,2449,1578,2449,50,131
서구문화회관,42213,3402,1050,3361,1050,41,143
서구보건소,42283,5147,4016,4962,4016,185,295
서구보건소,42285,4370,4974,4287,4974,83,301
서구영어마을,42448,6677,4801,6579,4801,98,370
서구영어마을,42449,5464,9590,5257,9590,207,485
서구청역(1번출구),42289,4592,4782,4528,4782,64,302
서구청역(3번출구),42284,1389,867,1365,867,24,72
서구청역(4번출구),42296,2969,2780,2869,2780,100,185
서남촌,43151,13,0,13,0,0,0
서남촌,43640,2,11,2,11,0,0
서당골,35676,20,46,20,46,0,2
서당골,35702,44,17,44,17,0,1
서두머리,43212,21,4,21,4,0,0
서두머리,43336,4,12,4,12,0,0
서림초등학교,36036,9,841,5,841,4,27
서림초등학교,36047,15130,1353,14973,1353,157,531
서릿목,35418,166,498,161,498,5,21
서릿목,35419,571,160,544,160,27,23
서면초등학교,38384,1659,1495,1607,1495,52,101
서문안,43385,21,141,21,141,0,5
서문안,43584,277,13,237,13,40,9
서문안주유소,43965,134,8,123,8,11,4
서문안주유소,43966,20,246,20,246,0,8
서부경찰서,42286,579,811,574,811,5,44
서부공단입구,42299,3505,4315,3483,4315,22,252
서부공단입구,42301,5936,1205,5880,1205,56,230
서부산업단지,89035,45,56,41,56,4,3
서부산업단지,89036,37,332,37,332,0,11
서사체험학습장,43487,23,11,21,11,2,1
